Comment,Designator,Footprint,LCSC Part #
2k,R1 R5,R0603,C2097078
4.7u,C1 C2,C0805,C98192
6.98k,R4,R0603,C137686
22u,C3 C5,C0805,C86816
45.3k,R2,R0603,C245971
47u,C6,D/7343-31R,C1955280
100k,R3,R0603,C14675
BM04B-SRSS-TB,CH3 CH4,BM04B-SRSS-TB,C160390
Green,LED1 LED3,SML0603,C2922668
LTM8055,IC1,LTM8055,C690729
