Comment,Designator,Footprint,LCSC Part #
CDSOT23-SM712,D2 ,CDSOT23-SM712,C404012
Green,LED5 LED6,SML0603,C2922668
0.1u,C3,C0402,C80516
1k,R2,R0603,C22548
2k,R1,R0603,C2097078
10u,C1 C2,C0603,C86275
120,R4,R0603,C114640
680,R3 R5,R0603,C112310
SN65HVD75DRBR,IC2,SON65P300X300X100-9N,C98708
SS34FA,D1,SS34FA,C719833
TPS7B82-Q1,IC1,SOP65P490X110-9N,C424924
WS2812B,LED1 LED2 LED3 LED4,WS2812B,C2874885
