Comment,Designator,Footprint,LCSC Part #
0.1u,C1,C0603,C2929177
2k,R1,R0603,C2097078
10u,C2,C0603,C86275
Green,LED1,SML0603,C2922668
LM2937IMP-12NOPB,U1,SOT-223,C5220609
