Comment,Designator,Footprint,LCSC Part #
0.1u,C1 C2,C0603,
2k,R5 R6 R7,R0603,
10k,R1 R2 R3 R4,R0603,
BM04B-SRSS-TB,CH9 CH10,BM04B-SRSS-TB,
Green,LED1 LED2 LED3,SML0603,
SI7997DP-T1-GE3,U1,POWERPAK_SO-8_VIS,
