Designator,Mid X,Mid Y,Layer,Rotation
C1,0,4.76,Top,0
C2,3.65,0,Top,0
IC1,0.75,-0.32,Top,90
JP1,-4.29,3.49,Top,0
JP2,-4.29,1.59,Top,0
JP3,-4.29,-2.22,Top,0
JP4,-4.29,-0.32,Top,0
JP5,-2.64,3.49,Top,180
JP6,-2.64,1.59,Top,180
JP7,-2.64,-2.22,Top,180
JP8,-2.64,-0.32,Top,180
LED1,3.81,1.27,Top,180
LED2,3.81,-1.27,Top,180
R1,0,1.27,Bottom,180
R2,-4.13,4.76,Top,0
R3,3.81,4.76,Top,180
R4,3.81,2.86,Top,0
R5,3.81,-2.86,Top,180
